id,name,country_or_region,url,model,year_founded,beneficiaries_estimate,revenue_annual_usd_estimate,funding_sources,digital_signals,innovations,notes
0001,Compassion International,USA,https://www.compassion.com,sponsorship,1952,2M,USD 1B+,individuals;foundations;corporate;events;merchandise,online-donation;recurring-giving;sponsor-portal;annual-report;charity-rating;multiling-site;email-newsletter,sponsor letter portal + photo quarterly,largest sponsorship model globally; 8 child development centers
0002,SOS Children's Villages International,Global,https://www.sos-childrensvillages.org,residential care,1949,130k,USD 1B+,individuals;foundations;corporate;government;multilateral;earned-income,online-donation;recurring-giving;sponsor-portal;annual-report;charity-rating;multiling-site;email-newsletter,village model of family-like residential care; alumni network,operates in 136 countries; founded by Hermann Gmeiner in Austria
0003,SOS Children's Villages Paraguay,Paraguay,https://www.sos-childrensvillages.org/paraguay,residential care,1970,1.5k,unknown,individuals;foundations;corporate;government;sponsorships,online-donation;recurring-giving;sponsor-portal;annual-report;multiling-site,village model of family-like residential care,3 villages in Paraguay; member of SOS-I federation
0004,Plan International,Global,https://www.plan-international.org,sponsorship,1937,1M,USD 1B+,individuals;foundations;corporate;government;multilateral;sponsorships,online-donation;recurring-giving;sponsor-portal;annual-report;charity-rating;multiling-site;mobile-app;email-newsletter,child sponsorship + girls rights movement,founded in 1937 by John Langdon-Davies; HQ Woking UK
0005,Save the Children,Global,https://www.savethechildren.org,mixed,1919,200M,USD 1B+,individuals;foundations;corporate;government;multilateral;earned-income;merchandise,online-donation;recurring-giving;sponsor-portal;annual-report;charity-rating;multiling-site;mobile-app;email-newsletter;tiktok,pioneered child sponsorship in 1930s; massive advocacy,founded by Eglantyne Jebb; HQ Connecticut USA
0006,UNICEF,Global,https://www.unicef.org,rights,1946,1B,USD 7B+,government;multilateral;individuals;foundations;corporate;earned-income;merchandise,online-donation;recurring-giving;sponsor-portal;annual-report;charity-rating;multiling-site;mobile-app;email-newsletter;tiktok,national committees; UNICEF Innovation Fund,UN agency; HQ New York
0007,World Vision International,Global,https://www.worldvision.org,sponsorship,1950,3.5M,USD 1B+,individuals;foundations;corporate;government;earned-income,online-donation;recurring-giving;sponsor-portal;annual-report;charity-rating;multiling-site;mobile-app;email-newsletter,child sponsorship + area development programs,largest Christian humanitarian NGO; HQ London
0008,ChildFund International,USA,https://www.childfund.org,sponsorship,1938,1M,USD 200M,individuals;foundations;corporate,online-donation;recurring-giving;sponsor-portal;annual-report;charity-rating;multiling-site;email-newsletter,sponsor letter portal + youth civic engagement,founded as China Childrens Fund 1938
0009,Children International,USA,https://www.children.org,sponsorship,1964,300k,USD 100M,individuals;foundations;corporate;events,online-donation;recurring-giving;sponsor-portal;annual-report;charity-rating;multiling-site;email-newsletter,sponsor portal + youth leadership program,HQ Kansas City
0010,Big Brothers Big Sisters of America,USA,https://www.bbbs.org,mentorship,1904,200k,USD 300M,individuals;foundations;corporate;events,online-donation;recurring-giving;annual-report;charity-rating;multiling-site;mobile-app;email-newsletter,1:1 youth mentoring matching platform,founded 1904 NYC; merged BBBSA and BBBSCA 2017
0011,Boys & Girls Clubs of America,USA,https://www.bgca.org,education,1860,4M,USD 1B+,individuals;foundations;corporate;government;events;merchandise,online-donation;recurring-giving;annual-report;charity-rating;multiling-site;mobile-app;email-newsletter,club membership model; afterschool programs,founded 1860; 4700+ club locations in US
0012,Make-A-Wish Foundation,USA,https://www.wish.org,rights,1980,300k,USD 500M,individuals;foundations;corporate;events;merchandise,online-donation;recurring-giving;annual-report;charity-rating;multiling-site;mobile-app;email-newsletter;tiktok,wish-granting model; localized chapters,founded 1980; granted 500k+ wishes
0013,March of Dimes,USA,https://www.marchofdimes.org,health,1938,10M,USD 200M,individuals;foundations;corporate;events,online-donation;recurring-giving;annual-report;charity-rating;multiling-site;email-newsletter,March for Babies walkathon + research grants,founded by FDR to fight polio; pivoted to maternal/infant health
